epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,1004.77,0.93163,0.99782,0.00488,0.7051,0.74789,0.81212,0.64526,0.78159,1.58802,0.00647,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1028.45,0.91256,0.98653,0.00517,0.80008,0.64578,0.82368,0.66159,0.78072,1.46142,0.0063,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1050.83,0.92431,0.91591,0.00496,0.86335,0.62249,0.83588,0.66301,0.72236,1.12245,0.00614,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1073.96,0.93013,0.92065,0.00471,0.72337,0.74665,0.82651,0.64269,0.73312,1.23493,0.00617,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1098.67,0.92235,0.9065,0.00521,0.85465,0.62621,0.83347,0.68373,0.70026,1.10794,0.00581,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1121.12,0.90262,0.87504,0.00458,0.8017,0.68339,0.84836,0.68857,0.69263,1.08264,0.00582,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1142.31,0.91287,0.88985,0.00469,0.80427,0.67155,0.83374,0.62476,0.82564,1.18586,0.00663,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1167.36,0.88417,0.85339,0.0047,0.75103,0.7749,0.83742,0.65014,0.78866,1.17502,0.00634,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1191.66,0.87018,0.87319,0.00443,0.74635,0.77549,0.84941,0.66921,0.75455,1.21537,0.00619,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1212.66,0.83121,0.88229,0.0044,0.81452,0.70976,0.87466,0.69098,0.73965,1.315,0.00601,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1236.95,0.87842,0.85275,0.00431,0.78865,0.7682,0.86712,0.67459,0.7862,1.07999,0.00637,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1258.39,0.90876,0.85277,0.00468,0.75848,0.77377,0.86812,0.67097,0.82327,1.08013,0.00648,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
